Name,WSM6_NSE,WDM6_NSE,Thompson_NSE,Morrison_NSE
Atlanta Summit (306),0.31843210211262796,0.3872615603829517,0.8309345927226008,0.9208487966310858
Banner Summit (312),0.9606324192257185,0.9689048521942667,0.8775841756880857,0.9086327046839948
Bear Canyon (320),0.9889572978735274,0.9710211221246318,0.9360444487249983,0.9384141611531599
Bogus Basin (978),0.5742965764922168,0.4067462972275929,0.6425954875782645,0.7058298471305033
Camas Creek Divide (382),0.6508259796664595,0.8097302821991941,0.5738782399312405,0.6495583373065308
Chocolate Gulch (895),0.9240234508590064,0.9300560936428547,0.9523517071205668,0.9304156387856823
Cozy Cove (423),0.9217398960503476,0.9587194795848927,0.8362126930987083,0.941012852017657
Dollarhide Summit (450),0.22913621990713207,0.13006336584163247,0.9249174067709991,0.9629187852621162
Galena (489),0.9770909060763758,0.9805586570934867,0.9923251877720872,0.990563477093518
Galena Summit (490),0.9782468372691054,0.9845190208124249,0.9727694879549813,0.9716678293814835
Garfield R.S. (492),0.8312577311907015,0.7480701429106057,0.9601302335837449,0.9212018551672456
Graham Guard Sta. (496),0.822611798957903,0.9186544579028937,0.9345828610611159,0.9976943545869936
Hyndman (537),0.9551431733555124,0.926569319600515,0.9771519348059317,0.9518248981717634
Jackson Peak (550),0.9932828344139207,0.9898505344033462,0.48375118523659133,0.5599988519164023
Lost-Wood Divide (601),0.9770933453768781,0.990386984624548,0.9869029601388748,0.9683145976698797
Mores Creek Summit (637),0.8905080624366168,0.9363621166144361,0.5855652026285871,0.5415009760230147
Prairie (704),0.7812122666367324,0.867253305544895,0.4377314603454495,0.7185535394104818
Smiley Mountain (926),0.9114111085057603,0.861495467478918,0.9134266602873408,0.9240460101239285
Soldier R.S. (769),0.5970902428642365,0.7431459284175322,0.9356410384768877,0.9285200885136085
Stickney Mill (792),0.737357152647265,0.851727711383052,0.7660060512165219,0.7348396737517218
Swede Peak (805),0.9579466376378032,0.9110356280024949,0.7524914882533587,0.7261912993479298
Trinity Mtn. (830),-0.011629312667017722,0.26234819606560666,0.7984746931044864,0.7981533470701803
Vienna Mine (845),0.9929080168389113,0.9932386922797265,0.7329871799419831,0.8080661741806425
