Name,WSM6_NSE,WDM6_NSE,Thompson_NSE,Morrison_NSE
Atlanta Summit (306),0.3679785867251273,0.3604207661103752,0.7822884119797415,0.9158279516887611
Banner Summit (312),0.6322725184860905,0.6075574137015755,0.702316907388562,0.6907596284962849
Bear Canyon (320),0.8427193427907297,0.7726749519293084,0.8576221713089778,0.8625119585697778
Bogus Basin (978),0.8245552432761516,0.8636887471489894,-0.34114757299451215,-0.26656648948808237
Camas Creek Divide (382),0.7355166270971607,0.7242530722919764,0.3305803040253018,0.3765791298842581
Chocolate Gulch (895),0.5860664392794883,0.6021328474641816,0.8045310552566354,0.7053617211134453
Cozy Cove (423),0.8452572791463946,0.8936710761144346,0.6714752797640599,0.6867286358853941
Dollarhide Summit (450),0.870623780685631,0.8496959096390067,0.7255851419824686,0.640930254521736
Galena (489),0.8729225248555276,0.8719032302284349,0.9370285088074123,0.9198952861181025
Galena Summit (490),0.8122327118158044,0.8259459458289553,0.7805428967777037,0.8188115731712348
Garfield R.S. (492),0.9640904291538772,0.9573902335043318,0.9050183271397454,0.895871432072002
Graham Guard Sta. (496),0.921978309637331,0.924951286403668,0.7188382947819856,0.8227386762376354
Hyndman (537),0.8156991385498227,0.7508786136211048,0.932505096050573,0.9135699252939947
Jackson Peak (550),0.8896797432730734,0.8603702456668766,0.4354093910180432,0.5872174918128185
Lost-Wood Divide (601),0.8010480448125987,0.8423436642295409,0.8067373892423852,0.7508147011559716
Mores Creek Summit (637),0.6997031757247651,0.6372879649283387,0.4419935932632305,0.4380761895521913
Prairie (704),0.5759200312006831,0.5659927268867896,0.356356020552562,0.4831915460055439
Smiley Mountain (926),0.9128962750365205,0.9397423495037398,0.707743735876164,0.8890934315788852
Soldier R.S. (769),0.6683180652409033,0.665056521716504,0.5772807592702534,0.5658759209197465
Stickney Mill (792),0.5805401856566513,0.5677779397293955,-0.007159537660851312,0.4944496502993835
Swede Peak (805),0.8097763800107998,0.7347701306514381,0.9121504759752899,0.9002780920158256
Trinity Mtn. (830),0.24278785662534064,0.29938474611600563,0.7617398007421993,0.7392504212238847
Vienna Mine (845),0.9940352802745516,0.9954683354315845,0.7786402565839232,0.8742987230103968
